player_name,winRate,dailyAverage,avgKDA
Faker#031,0.42,2.0,2.44
Sevaski#aaa,0.68,3.33,2.91
NekoDesu#1009,0.4,1.67,2.7
Inevitabilis#Death,0.5,4.44,3.08
Faker#5STAR,0.52,3.08,3.49
Yril#Yril,0.5,3.64,2.35
白狐狸#Fxx,0.35,3.08,2.48
瞬間即是永恆#37a1,0.4,3.33,2.72
chatrestricted#1269,0.55,8.0,4.05
死亡聆听#jug,0.42,5.0,2.01
dogwifhat#5730,0.48,1.6,2.93
Inserial#SG2,0.35,4.0,2.22
polop#SG2,0.32,1.74,2.38
FP Poppy#SG2,0.35,5.0,2.43
NekoDesu#Troll,0.5,5.71,2.84
Tale#255,0.5,6.67,2.66
웨이빈03#Moo,0.57,4.44,3.6
Gubb#6366,0.62,3.64,2.96
他在家里显得很弱势总是窝里受气#123,0.45,6.67,2.21
watermelon123#aaa,0.57,5.71,2.86
AMG#SG2,0.38,2.5,1.97
DR PHIL#CRACK,0.48,1.6,3.34
Limerence#1293,0.6,2.35,3.09
CottonBug#SG2,0.48,2.5,3.16
Nakiri#1319,0.38,1.29,2.48
hauser#SG2,0.4,1.38,3.31
NoLegs#potat,0.48,3.64,2.46
윤가이#1557,0.55,1.43,3.34
WNY Wind#悠米跟我走,0.5,2.67,2.24
Joey Swift#3174,0.5,4.44,2.71
我是LJW的爸爸#LJW,0.48,4.0,2.95
nicetry#5171,0.45,4.0,2.56
Dantiz#SG9,0.55,6.67,3.13
BIGMOMMA#farts,0.38,3.64,3.09
BLG BIN#6195,0.57,6.67,2.97
Dawn of us#6114,0.6,5.71,3.24
Squirrel#958,0.5,1.74,2.32
Jung Ji Hoon#0419,0.3,2.5,2.36
碇真嗣#0599,0.45,5.0,2.92
嘉莉大美女#Jiali,0.32,0.75,1.99
口合口合口合口合口合口合口合口合#哈哈哈哈哈,0.55,3.33,2.48
Somniphobia#SG2,0.45,4.0,2.84
eunae#daph,0.52,2.0,2.73
jerm#zuckr,0.3,5.0,2.4
catharsis#5092,0.57,1.29,2.29
frankenstein#888,0.52,8.0,2.45
Felia#1206,0.5,1.05,2.02
Kayy#1321,0.45,2.11,2.32
WNY KiWi#0129,0.52,2.67,2.57
sheep#yng,0.4,13.33,2.35
PotatoTomatoKing#6244,0.48,3.33,2.64
Nottieboy#1906,0.57,3.33,3.33
Arykelic#Ary,0.57,0.62,2.41
Bugatti Ben#417,0.5,1.48,3.27
nkzgypkd#2999,0.55,4.44,4.08
Kaii#0321,0.35,1.05,2.4
Rachhh#0721,0.52,6.67,2.48
FudgeNugget#SG2,0.45,4.44,2.76
大魔王阿文#SG2,0.6,10.0,3.3
zena#sg3,0.35,1.18,2.32
Doctor Doggo#SG2,0.28,0.73,1.76
aery#Janna,0.32,1.48,3.26
Feinous#WCMMG,0.57,6.67,2.77
橘内人#JNR,0.45,4.44,2.46
applejoy#poop,0.48,1.48,2.57
NickArdnihc#Nick,0.5,2.35,2.85
ehahae#1455,0.45,4.0,3.08
这游戏不知道怎么玩#3333,0.65,4.0,3.15
Poppy Bryan#KEKW,0.4,2.35,2.6
嘉莉公主#qtpie,0.32,0.09,2.86
Orca#2841,0.55,1.25,2.6
Fengwee#2500,0.62,1.9,3.42
Sukon#NUT,0.42,5.71,2.65
CAMP TOP OR LOSE#YNGMI,0.45,2.35,2.27
Old God Volibear#STORM,0.5,2.86,2.74
Kusuo#1725,0.48,1.14,2.58
Mossy#Fire,0.45,1.43,2.74
DungeonStrife#3469,0.6,1.38,3.3
Ash#Ionia,0.5,5.0,3.34
Davin#2889,0.55,1.33,3.71
dcor#sstar,0.4,5.0,2.87
giInKoYD#5690,0.48,6.67,2.81
我很想你#0724,0.42,1.74,2.17
SKT Faker#zzy,0.62,1.67,2.86
beef boss#beef,0.52,1.48,3.36
橘外人#1004,0.48,6.67,2.58
최수빈#0512,0.55,3.64,2.82
Worcestershire#7high,0.35,6.67,2.2
Yan#13112,0.52,2.86,3.33
jetix8#SG2,0.55,1.11,3.85
gummi#2884,0.48,5.0,3.12
I WILL INT YOU#L 9,0.5,3.33,2.44
MinatoAqua#8781,0.38,2.35,2.36
Beumchan Lee#IDN,0.5,1.67,2.91
JOHN PORK#3731,0.57,13.33,3.82
zyb#SG2,0.35,2.5,2.16
다포이 제너#KHY,0.5,2.11,2.72
Baxcalibur#0997,0.4,3.64,2.78
lihlo#schly,0.48,5.0,1.69
imwinter#180,0.5,2.5,2.6
