player_name,rank_tier,lp,region_rank,match_history_ids
Faker#031,Challenger,1219.0,1.0,"SG2_41402180,SG2_41216261,SG2_41210887,SG2_41017998,SG2_40924119,SG2_40916143,SG2_40871162,SG2_40863834,SG2_40858412,SG2_40849983,SG2_40821244,SG2_40754461,SG2_40700848,SG2_40699177,SG2_40656730,SG2_40654772,SG2_40654402,SG2_40620505,SG2_40620155,SG2_40594946,SG2_40594637,SG2_40546744,SG2_40540963,SG2_40542073,SG2_40506639,SG2_40500765,SG2_40491606,SG2_40489145,SG2_40473323,SG2_40458445,SG2_40453034,SG2_40441789,SG2_40392310,SG2_40391785,SG2_40368662,SG2_40362919,SG2_40362191,SG2_40351885,SG2_40356008,SG2_40350513"
Sevaski#aaa,Challenger,1078.0,2.0,"SG2_41406079,SG2_41381519,SG2_41375077,SG2_41351197,SG2_41349032,SG2_41336574,SG2_41308333,SG2_41304020,SG2_41298741,SG2_41296720,SG2_41273687,SG2_41269853,SG2_41244632,SG2_41239759,SG2_41237698,SG2_41235777,SG2_41181176,SG2_41177591,SG2_41145455,SG2_41144487,SG2_41140363,SG2_41132326,SG2_41096559,SG2_41090551,SG2_41088615,SG2_41085156,SG2_41080476,SG2_41074138,SG2_40990277,SG2_40907775,SG2_40906129,SG2_40898220,SG2_40854898,SG2_40851447,SG2_40849220,SG2_40837735,SG2_40736800,SG2_40734321,SG2_40731773,SG2_40729221"
NekoDesu#1009,Challenger,693.0,3.0,"SG2_41198884,SG2_41181176,SG2_41177591,SG2_41175915,SG2_41176115,SG2_40742927,SG2_40545283,SG2_40397784,SG2_40397152,SG2_40201580,SG2_40201166,SG2_40199473,SG2_40166219,SG2_40163492,SG2_40161088,SG2_40154183,SG2_40149568,SG2_40151058,SG2_40143790,SG2_40141575,SG2_40139315,SG2_40112995,SG2_40111370,SG2_40106783,SG2_40110336,SG2_40106096,SG2_40099637,SG2_40102176,SG2_40098695,SG2_40055703,SG2_40054135,SG2_40046760,SG2_40050432,SG2_40048264,SG2_40044879,SG2_40013034,SG2_40008106,SG2_40003254,SG2_39998769,SG2_39997504"
Inevitabilis#Death,GrandMaster,424.0,4.0,"SG2_41440492,SG2_41416102,SG2_41412231,SG2_41405882,SG2_41401531,SG2_41397324,SG2_41390908,SG2_41385998,SG2_41385269,SG2_41268525,SG2_41266150,SG2_41259948,SG2_41257247,SG2_41254069,SG2_41246585,SG2_41243288,SG2_41239588,SG2_41235777,SG2_41195335,SG2_41192050,SG2_41187201,SG2_41183726,SG2_41181176,SG2_41179349,SG2_41145455,SG2_41143403,SG2_41136650,SG2_41132326,SG2_41126510,SG2_41123795,SG2_41121355,SG2_41120663,SG2_41119189,SG2_41113809,SG2_41033862,SG2_41030515,SG2_41027669,SG2_41023951,SG2_41021630,SG2_41016943"
Faker#5STAR,GrandMaster,348.0,5.0,"SG2_41417322,SG2_41416061,SG2_41385875,SG2_41385269,SG2_41381936,SG2_41381226,SG2_41196757,SG2_41135730,SG2_41132326,SG2_41078586,SG2_41076671,SG2_41072724,SG2_41062443,SG2_41058942,SG2_41038527,SG2_41036392,SG2_41031897,SG2_41023384,SG2_40993025,SG2_40990277,SG2_40986771,SG2_40985519,SG2_40981687,SG2_40973901,SG2_40975053,SG2_40971272,SG2_40965667,SG2_40963829,SG2_40963224,SG2_40960423,SG2_40931709,SG2_40932117,SG2_40909235,SG2_40893053,SG2_40841237,SG2_40831417,SG2_40832108,SG2_40800013,SG2_40794497,SG2_40708740"
Yril#Yril,GrandMaster,314.0,6.0,"SG2_41401531,SG2_41398646,SG2_41396416,SG2_41389985,SG2_41382069,SG2_41352273,SG2_41351197,SG2_41338400,SG2_41306967,SG2_41308033,SG2_41305136,SG2_41304020,SG2_41239759,SG2_41237698,SG2_41236897,SG2_41211085,SG2_41075930,SG2_41074138,SG2_41073121,SG2_41072217,SG2_40983105,SG2_40959260,SG2_40905651,SG2_40906129,SG2_40903442,SG2_40877414,SG2_40875568,SG2_40858668,SG2_40852685,SG2_40850474,SG2_40850240,SG2_40848795,SG2_40826449,SG2_40822736,SG2_40822147,SG2_40806504,SG2_40807112,SG2_40803692,SG2_40804160,SG2_40789397"
白狐狸#Fxx,GrandMaster,280.0,7.0,"SG2_41376684,SG2_41336405,SG2_41310840,SG2_41305136,SG2_41257356,SG2_41236498,SG2_41192916,SG2_41135534,SG2_41123795,SG2_41071041,SG2_41014236,SG2_40965667,SG2_40953965,SG2_40945945,SG2_40876722,SG2_40851730,SG2_40851447,SG2_40845195,SG2_40841873,SG2_40822605,SG2_40812803,SG2_40803692,SG2_40804160,SG2_40801007,SG2_40799365,SG2_40795919,SG2_40796266,SG2_40759798,SG2_40759106,SG2_40755435,SG2_40749512,SG2_40735405,SG2_40731984,SG2_40729562,SG2_40730288,SG2_40692724,SG2_40685534,SG2_40682952,SG2_40681569,SG2_40674893"
瞬間即是永恆#37a1,GrandMaster,277.0,8.0,"SG2_41401531,SG2_41397324,SG2_41344965,SG2_41341891,SG2_41323295,SG2_41305851,SG2_41136855,SG2_41080476,SG2_40952436,SG2_40948898,SG2_40945945,SG2_40946262,SG2_40933266,SG2_40932117,SG2_40929234,SG2_40913790,SG2_40913258,SG2_40911412,SG2_40907775,SG2_40904848,SG2_40902919,SG2_40901421,SG2_40899552,SG2_40898220,SG2_40893844,SG2_40894543,SG2_40893053,SG2_40890401,SG2_40890048,SG2_40886739,SG2_40875114,SG2_40872180,SG2_40867758,SG2_40828532,SG2_40826241,SG2_40781476,SG2_40780845,SG2_40778491,SG2_40751916,SG2_40750102"
chatrestricted#1269,GrandMaster,271.0,9.0,"SG2_41418313,SG2_41418146,SG2_41401154,SG2_41392941,SG2_41391253,SG2_41385998,SG2_41384694,SG2_41381519,SG2_41377881,SG2_41376684,SG2_41375077,SG2_41373033,SG2_41370070,SG2_41367264,SG2_41349032,SG2_41347171,SG2_41337718,SG2_41334645,SG2_41329714,SG2_41327349,SG2_41321993,SG2_41317928,SG2_41315504,SG2_41313034,SG2_41312238,SG2_41308033,SG2_41302752,SG2_41300891,SG2_41298741,SG2_41299144,SG2_41213128,SG2_41211611,SG2_41209160,SG2_41208231,SG2_41203380,SG2_41199230,SG2_41195335,SG2_41192050,SG2_41185464,SG2_41183726"
死亡聆听#jug,GrandMaster,269.0,10.0,"SG2_41418313,SG2_41418146,SG2_41416061,SG2_41407691,SG2_41403959,SG2_41402600,SG2_41352273,SG2_41351197,SG2_41349032,SG2_41347171,SG2_41341891,SG2_41337718,SG2_41334426,SG2_41319959,SG2_41269853,SG2_41268525,SG2_41266150,SG2_41159178,SG2_41151454,SG2_41146161,SG2_41144487,SG2_41140638,SG2_41135730,SG2_41131837,SG2_41132016,SG2_41116643,SG2_41095694,SG2_41096314,SG2_41090973,SG2_41090551,SG2_41089484,SG2_41086399,SG2_41081478,SG2_41045690,SG2_41043941,SG2_41041979,SG2_41042243,SG2_41041230,SG2_40997543,SG2_40998040"
dogwifhat#5730,GrandMaster,266.0,11.0,"SG2_41301112,SG2_41188843,SG2_41186030,SG2_41181534,SG2_41143403,SG2_41131837,SG2_41113982,SG2_41111830,SG2_41111457,SG2_41090392,SG2_40845310,SG2_40632289,SG2_40629236,SG2_40628131,SG2_40570818,SG2_40430718,SG2_40428761,SG2_40428393,SG2_40416614,SG2_40344009,SG2_40337932,SG2_40319761,SG2_40308988,SG2_40304939,SG2_40302699,SG2_40302485,SG2_40299408,SG2_40301054,SG2_40238943,SG2_40201389,SG2_40203008,SG2_40199473,SG2_40103882,SG2_40088122,SG2_40083891,SG2_40083489,SG2_40085170,SG2_40066663,SG2_40066067,SG2_40059596"
polop#SG2,GrandMaster,258.0,12.0,"SG2_41368846,SG2_41363021,SG2_41340866,SG2_41338400,SG2_41332729,SG2_41315504,SG2_41312815,SG2_41310581,SG2_41130146,SG2_41073343,SG2_40869592,SG2_40867758,SG2_40866184,SG2_40862354,SG2_40858668,SG2_40854898,SG2_40852997,SG2_40851730,SG2_40851447,SG2_40850240,SG2_40848795,SG2_40822559,SG2_40818804,SG2_40814741,SG2_40730288,SG2_40726978,SG2_40688589,SG2_40638607,SG2_40524567,SG2_40524188,SG2_40520322,SG2_40507384,SG2_40503638,SG2_40489712,SG2_40487589,SG2_40486115,SG2_40447473,SG2_40401302,SG2_40351885,SG2_40211245"
FP Poppy#SG2,GrandMaster,257.0,13.0,"SG2_41407108,SG2_41401531,SG2_41398646,SG2_41390908,SG2_41388538,SG2_41336405,SG2_41321821,SG2_41321129,SG2_41317340,SG2_41316305,SG2_41309355,SG2_41305136,SG2_41301748,SG2_41301112,SG2_41300394,SG2_41296720,SG2_41272924,SG2_41271279,SG2_41267310,SG2_41261670,SG2_41259157,SG2_41253510,SG2_41252067,SG2_41244632,SG2_41239759,SG2_41237698,SG2_41235777,SG2_41089484,SG2_41043432,SG2_41041536,SG2_41041230,SG2_41039191,SG2_41035436,SG2_41030515,SG2_41027669,SG2_40990128,SG2_40986771,SG2_40985373,SG2_40981687,SG2_40979265"
NekoDesu#Troll,GrandMaster,255.0,14.0,"SG2_41416237,SG2_41410696,SG2_41407893,SG2_41406079,SG2_41401296,SG2_41397324,SG2_41390908,SG2_41381519,SG2_41377881,SG2_41377207,SG2_41375077,SG2_41373033,SG2_41370070,SG2_41367094,SG2_41344965,SG2_41343620,SG2_41340866,SG2_41340101,SG2_41336405,SG2_41333068,SG2_41326834,SG2_41318032,SG2_41316305,SG2_41313034,SG2_41305851,SG2_41303576,SG2_41304020,SG2_41298741,SG2_41299144,SG2_41295421,SG2_41292439,SG2_41273687,SG2_41272924,SG2_41271279,SG2_41267310,SG2_41261670,SG2_41090392,SG2_41089484,SG2_41086399,SG2_41081478"
