#,Name,Soloqueue,Draft Ranked Flex,Most played champions
,,,,
1.,"Faker#031

SG
(#1)","Challenger
                                        1219 LP                                    
 
                                        Wins: 101 (72.1%)","Diamond II
                                        48 LP                                    
 
                                        Wins: 13 (56.5%)",
2.,"Sevaski#aaa

SG
(#2)","Challenger
                                        1078 LP                                    
 
                                        Wins: 107 (63.3%)","Diamond IV
                                        5 LP                                    
 
                                        Wins: 5 (62.5%)",
3.,"NekoDesu#1009

SG
(#3)","Challenger
                                        693 LP                                    
 
                                        Wins: 90 (61.6%)",,
4.,"Inevitabilis#Death

SG
(#4)","GrandMaster
                                        424 LP                                    
 
                                        Wins: 118 (54.9%)",,
5.,"Faker#5STAR

SG
(#5)","GrandMaster
                                        348 LP                                    
 
                                        Wins: 65 (60.2%)",,
6.,"Yril#Yril

SG
(#6)","GrandMaster
                                        314 LP                                    
 
                                        Wins: 98 (54.4%)","Diamond II
                                        38 LP                                    
 
                                        Wins: 3 (60.0%)",
7.,"白狐狸#Fxx

SG
(#7)","GrandMaster
                                        280 LP                                    
 
                                        Wins: 61 (57.5%)",,
,,,,
8.,"瞬間即是永恆#37a1

SG
(#8)","GrandMaster
                                        277 LP                                    
 
                                        Wins: 66 (56.9%)",,
9.,"chatrestricted#1269

SG
(#9)","GrandMaster
                                        271 LP                                    
 
                                        Wins: 141 (55.7%)","Diamond IV
                                        84 LP                                    
 
                                        Wins: 17 (51.5%)",
10.,"死亡聆听#jug

SG
(#10)","GrandMaster
                                        269 LP                                    
 
                                        Wins: 133 (55.9%)",,
11.,"dogwifhat#5730

SG
(#11)","GrandMaster
                                        266 LP                                    
 
                                        Wins: 53 (60.9%)",,
12.,"polop#SG2

SG
(#12)","GrandMaster
                                        258 LP                                    
 
                                        Wins: 41 (65.1%)",,
13.,"FP Poppy#SG2

SG
(#13)","GrandMaster
                                        257 LP                                    
 
                                        Wins: 106 (57.3%)",,
14.,"NekoDesu#Troll

SG
(#14)","GrandMaster
                                        255 LP                                    
 
                                        Wins: 90 (54.9%)","Emerald II
                                                                            
 
                                        Wins: 8 (61.5%)",
15.,"웨이빈03#Moo

SG
(#15)","GrandMaster
                                        248 LP                                    
 
                                        Wins: 119 (54.3%)",,
16.,"Gubb#6366

SG
(#16)","GrandMaster
                                        246 LP                                    
 
                                        Wins: 61 (60.4%)",,
17.,"Inserial#SG2

SG
(#17)","GrandMaster
                                        241 LP                                    
 
                                        Wins: 79 (56.0%)",,
18.,"他在家里显得很弱势总是窝里受气#123

SG
(#18)","GrandMaster
                                        235 LP                                    
 
                                        Wins: 91 (53.2%)","Diamond I
                                        75 LP                                    
 
                                        Wins: 10 (58.8%)",
19.,"watermelon123#aaa

SG
(#19)","GrandMaster
                                        235 LP                                    
 
                                        Wins: 77 (59.2%)","Master
                                        5 LP                                    
 
                                        Wins: 10 (55.6%)",
20.,"AMG#SG2

SG
(#20)","GrandMaster
                                        232 LP                                    
 
                                        Wins: 57 (57.6%)",,
21.,"DR PHIL#CRACK

SG
(#21)","GrandMaster
                                        223 LP                                    
 
                                        Wins: 41 (60.3%)","Diamond II
                                        50 LP                                    
 
                                        Wins: 3 (60.0%)",
22.,"Limerence#1293

SG
(#22)","GrandMaster
                                        221 LP                                    
 
                                        Wins: 76 (58.5%)","Emerald III
                                                                            
 
                                        Wins: 11 (73.3%)",
23.,"Tale#255

SG
(#23)","GrandMaster
                                        214 LP                                    
 
                                        Wins: 185 (49.6%)","Diamond II
                                        19 LP                                    
 
                                        Wins: 9 (42.9%)",
24.,"CottonBug#SG2

SG
(#24)","GrandMaster
                                        214 LP                                    
 
                                        Wins: 87 (54.7%)",,
25.,"Nakiri#1319

SG
(#25)","GrandMaster
                                        214 LP                                    
 
                                        Wins: 32 (68.1%)",,
26.,"hauser#SG2

SG
(#26)","GrandMaster
                                        211 LP                                    
 
                                        Wins: 45 (65.2%)","Gold III
                                                                            
 
                                        Wins: 4 (80.0%)",
27.,"NoLegs#potat

SG
(#27)","GrandMaster
                                        209 LP                                    
 
                                        Wins: 79 (54.1%)",,
28.,"윤가이#1557

SG
(#28)","GrandMaster
                                        201 LP                                    
 
                                        Wins: 70 (57.4%)","Diamond I
                                        24 LP                                    
 
                                        Wins: 5 (83.3%)",
29.,"WNY Wind#悠米跟我走

SG
(#29)","GrandMaster
                                        140 LP                                    
 
                                        Wins: 42 (60.0%)","Diamond II
                                        0 LP                                    
 
                                        Wins: 2 (33.3%)",
30.,"Joey Swift#3174

SG
(#30)","Master
                                        235 LP                                    
 
                                        Wins: 56 (57.1%)",,
31.,"我是LJW的爸爸#LJW

SG
(#31)","Master
                                        220 LP                                    
 
                                        Wins: 88 (57.5%)",,
32.,"Dawn of us#6114

SG
(#32)","Master
                                        201 LP                                    
 
                                        Wins: 93 (54.1%)","GrandMaster
                                        220 LP                                    
 
                                        Wins: 29 (72.5%)",
33.,"BIGMOMMA#farts

SG
(#33)","Master
                                        198 LP                                    
 
                                        Wins: 42 (60.9%)","Diamond II
                                        48 LP                                    
 
                                        Wins: 3 (60.0%)",
34.,"nicetry#5171

SG
(#34)","Master
                                        195 LP                                    
 
                                        Wins: 74 (57.8%)","Diamond I
                                        11 LP                                    
 
                                        Wins: 21 (75.0%)",
35.,"BLG BIN#6195

SG
(#35)","Master
                                        191 LP                                    
 
                                        Wins: 110 (53.9%)",,
36.,"Squirrel#958

SG
(#36)","Master
                                        177 LP                                    
 
                                        Wins: 38 (60.3%)",,
37.,"碇真嗣#0599

SG
(#37)","Master
                                        162 LP                                    
 
                                        Wins: 70 (52.6%)",,
